

    0.126059666193386273E-98    0.438961844416715053E+03    0.218686222936075358E+01    0.158122037564926510E+01    0.158066993642883222E+02   -0.127442649057220692E+00   -0.147999999999999998E+01    0.100000000000000000E+01    0.376808260501001868E+01    0.156792567152311015E+02    0.175460465864859416E+01    0.692893603406831149E+00    0.172104868345131973E+00    0.100369650256736401E+00    0.338989918326243478E-01    0.631970866215335065E-02
    0.375273550716844154E-98    0.436776044631650564E+03    0.509044525027275085E+01    0.748240232467651367E+00    0.154962074756622314E+02   -0.721890449523925781E+00   -0.147999999999999998E+01    0.100000000000000000E+01    0.583868548274040222E+01    0.147743170261383057E+02    0.339026856620186667E+00    0.216468742811210396E+00    0.367105186099642503E-01    0.178392251415759109E-01    0.124379410856292304E-01    0.164068509012388016E-02
    0.410072603656753876E-98    0.436594686636660526E+03    0.246888071298599243E+01    0.156135672330856323E+01    0.185654941201210022E+02   -0.289909940958023071E+01   -0.147999999999999998E+01    0.100000000000000000E+01    0.403023743629455566E+01    0.156663947105407715E+02    0.393600085807266423E-01    0.364837002613658534E-01    0.315510838014094047E-01    0.187338502379420097E-01    0.139147722642761172E-01    0.748092470781118544E-02
    0.448705592351563290E-98    0.436410621136166753E+03    0.224732745402075151E+01    0.205949521537348934E+01    0.181176458191617442E+02   -0.186930550786554939E+01   -0.147999999999999998E+01    0.100000000000000000E+01    0.430682266939424085E+01    0.162483403112961966E+02    0.638945485783292355E+00    0.575848099050199180E+00    0.478702443673124312E+00    0.166187977905148998E+00    0.107630360324586741E+00    0.552743916756068751E-01
    0.499602128437720520E-98    0.436191731011830143E+03    0.396142862663465500E+01    0.282749155201281877E+01    0.174434827852744867E+02   -0.250907442865264674E+01   -0.147999999999999998E+01    0.100000000000000000E+01    0.678892017864747377E+01    0.149344083566218409E+02    0.153636639190835617E+00    0.523993536607324839E+00    0.639507478188017675E+00    0.493334340316470797E-02    0.234372522756751446E-01    0.513773804510373536E-01
    0.890265846066762601E-98    0.435032314845744168E+03    0.647323906421661377E+01    0.832647740840911865E+00    0.175503098964691162E+02   -0.215762597322463989E+01   -0.147999999999999998E+01    0.100000000000000000E+01    0.730588680505752563E+01    0.153926839232444763E+02    0.264128110112848181E-01    0.186009630350739003E-01    0.114499570515077184E-01    0.254737197585791428E-01    0.189905119991592188E-01    0.949525599957960938E-02
    0.136242728781782521E-97    0.434177308772133870E+03    0.270846232771873474E+01    0.206919455528259277E+01    0.179053238034248352E+02   -0.245371663570404053E+01   -0.147999999999999998E+01    0.100000000000000000E+01    0.477765688300132751E+01    0.154516071677207947E+02    0.207767113853232904E+00    0.185991319157135515E+00    0.161225310326679028E+00    0.582212281454623226E-01    0.409835231356275587E-01    0.241961091954374513E-01
    0.153894436609308410E-97    0.433929651121285644E+03    0.568658283352851868E+01    0.504543840885162354E+00    0.174222362041473389E+02   -0.530240714550018311E+00   -0.147999999999999998E+01    0.100000000000000000E+01    0.619112667441368103E+01    0.168919954895973206E+02    0.110048603169884920E+00    0.510276289155456725E-01    0.166326473673272870E-01    0.112408262310488186E+00    0.519714925717869800E-01    0.289205723420188051E-02
    0.172408921684998708E-97    0.433698446689286925E+03    0.345792731642723083E+01    0.231849873065948486E+01    0.177578797936439514E+02   -0.268197655677795410E+01   -0.147999999999999998E+01    0.100000000000000000E+01    0.577642604708671570E+01    0.150759032368659973E+02    0.258728233652334993E+00    0.230442831902562012E+00    0.212348494018516076E+00    0.254360634852737709E-01    0.518704352675983527E-01    0.470452784985194369E-01
    0.203268944825217226E-97    0.433365124995781343E+03    0.412421217560768127E+01    0.236358344554901123E+01    0.161055412888526917E+02   -0.127474397420883179E+01   -0.147999999999999998E+01    0.100000000000000000E+01    0.648779562115669250E+01    0.148307973146438599E+02    0.207751343860715337E+00    0.838229661498871792E+00    0.136730237560082135E+01    0.633187424909160534E-02    0.265917470561682703E-01    0.521742188545115324E-01
