param med -1sig +1sig bestfit modemean modesigma modemax
h2den1 4.1651307513402305 2.6873183022928284 5.816924283147229 2.8962138382162412 4.514083150039825 1.1838664347697994 2.8962138382162412
tkin1 1.158561671313435 0.981722883620375 1.7167456053708372 1.1378574856223298 1.1104055130642232 0.15223956288678075 1.1378574856223298
cdmol1 18.533831122614266 18.220831842754553 19.390315665361182 18.514420047195415 18.43264027381687 0.2467886186834434 18.514420047195415
ff1 -0.7549127032663565 -1.3374058001331024 -0.5047470356782163 -0.6882771049652581 -0.6751858009220454 0.2018448234626341 -0.6882771049652581
xmol1 -2.0 -2.0 -2.0 -2.0 -1.9999999999999998 2.1073424255447017e-08 -2.0
lum1 2.0707764625549316 2.0707764625549316 2.0707764625549316 2.0707764625549316 2.0707764625549316 1.0536712127723509e-08 2.0707764625549316
press1 5.368559849390963 4.193145264095903 6.940369812602666 4.034071323838571 5.624488663104056 1.1356302869353205 4.034071323838571
bacd1 17.772340336979262 17.689573903201357 18.005524396323736 17.826142942230156 17.7574544728948 0.08167514634300307 17.826142942230156
k1mol0 2.0020067900170346 1.8863585547085175 2.111528540278288 2.053953543991911 2.0238382749098416 0.08532281948593243 2.053953543991911
k2mol0 1.6782470575992252 1.5808072709693353 1.7852693845722756 1.6460326305643758 1.6525517241454397 0.0705264387072425 1.6460326305643758
k3mol0 1.2870951459591697 1.0275395150941942 1.5825421347706683 0.9466225016122402 1.195267096176918 0.19344254695692217 0.9466225016122402
k1mol1 0.41707706726796057 0.37712279776619595 0.45471924924124096 0.42759951025620024 0.4186201327994257 0.03163637058506231 0.42759951025620024
k2mol1 0.45721903059508145 0.23001449629649376 0.7260683915644239 0.18963197839789592 0.4854004471562355 0.20127338611642487 0.18963197839789592
k3mol1 0.197884681318232 0.05484268288168466 0.539198474275348 0.02970238208826626 0.2560019769844897 0.21715204932164967 0.02970238208826626
mass1 7.874149083049723 7.791382649271817 8.107333142394197 7.927951688300617 7.8592632189652605 0.08167514634300307 7.927951688300617
