param med -1sig +1sig bestfit modemean modesigma modemax
h2den1 4.731232528746061 3.428305164983602 5.928493920177258 6.378884225741885 4.63286683121847 1.1591723292226361 6.378884225741885
tkin1 1.7711731514621971 1.3338944668950004 2.3796664392563294 1.3527798438277312 1.8425755499456957 0.4823057256394759 1.3527798438277312
cdmol1 19.582126419287203 19.087456678432766 20.555675986741377 19.216958235975397 19.772166327396288 0.7525534768785942 19.216958235975397
ff1 -1.709648462442982 -2.250882969180247 -1.2910848431338242 -1.3253325966113398 -1.7525608268981383 0.44445311014852695 -1.3253325966113398
xmol1 -2.0 -2.0 -2.0 -2.0 -2.000000000000001 nan -2.0
lum1 2.9395192861557007 2.9395192861557007 2.9395192861557007 2.9395192861557007 2.939519286155701 nan 2.9395192861557007
press1 6.338970135984502 5.280004431600941 7.713073778825026 7.731664069569616 6.4754423811641715 1.084350612285047 7.731664069569616
bacd1 17.911523731128995 17.700096839081965 18.361107234417865 17.891625639364058 18.01960550049813 0.3551550566839234 17.891625639364058
k1mol0 0.9413431525779671 0.8973711928933399 0.9922685388789189 0.9569250236447779 0.9448534268101612 0.04743110257220176 0.9569250236447779
k2mol0 0.8640452092616362 0.8191926427883389 0.905609355530691 0.8680406835038599 0.8626016617766639 0.04129600238946681 0.8680406835038599
k3mol0 0.7922365713772312 0.6839349803893333 0.8712280578416709 0.7649726720638591 0.7804486245615029 0.09012130032118967 0.7649726720638591
k1mol1 0.05934458634414716 0.05586459107306735 0.06258043524111032 0.059382303838826145 0.059282137011670184 0.003374055819664772 0.059382303838826145
k2mol1 0.15039469082539408 0.08847840836378165 0.196920869676933 0.14472072615497358 0.14440413496481685 0.05005908814382158 0.14472072615497358
k3mol1 0.16082101823432904 0.04912634835100988 0.3260816936393565 0.15833705060209297 0.18052792993473257 0.11871105397333472 0.15833705060209297
mass1 8.750091042424877 8.538664150377848 9.199674545713748 8.73019295065994 8.858172811794013 0.3551550566839234 8.73019295065994
