param med -1sig +1sig bestfit modemean modesigma modemax
h2den1 5.008479985353242 3.7340232743970505 6.046826192822145 3.711283366001755 4.923106213272989 0.9849137860652772 3.711283366001755
tkin1 1.8446796738255882 1.3656535919423594 2.42306725710293 2.3556707844483387 1.8789555743222373 0.46915050041009243 2.3556707844483387
cdmol1 19.597738311470412 18.93831981907516 20.732109473777044 20.169287766209962 19.7821046860543 0.8579453407799883 20.169287766209962
ff1 -1.509620643794826 -2.109932486866857 -1.0311365465676805 -1.9929075791072979 -1.5476741872928228 0.48991514434188327 -1.9929075791072979
xmol1 -1.7 -1.7 -1.7 -1.7 -1.6999999999999984 0.0 -1.7
lum1 2.9672670364379883 2.9672670364379883 2.9672670364379883 2.9672670364379883 2.967267036437988 1.8250120749944284e-08 2.9672670364379883
press1 6.7385743242613865 5.654342997228 7.966752683853113 6.066954150450094 6.802061787595218 1.0301016418319584 6.066954150450094
bacd1 18.13095114183778 17.859485614503985 18.707847396805974 18.176380187102666 18.23443049876148 0.4034063668384275 18.176380187102666
k1mol0 1.8362617942467592 1.7627322177044586 1.9332086447383403 1.8713120294476526 1.8447455538652657 0.08948031025817452 1.8713120294476526
k2mol0 1.757292910416549 1.6710612984432274 1.8350152309103709 1.7290069321512531 1.754364355542265 0.08252804002754596 1.7290069321512531
k3mol0 1.6455202951747616 1.43749015996018 1.7821467767620072 1.6659861033485621 1.61599540571793 0.17074437183848734 1.6659861033485621
k1mol1 0.13890772442998714 0.11768052172065276 0.15884989520958948 0.14088204632343543 0.13868989867501696 0.02034437560429302 0.14088204632343543
k2mol1 0.38451119254183097 0.26109277669629244 0.49074903017396904 0.38452870219448504 0.38374832069974957 1902.2210059105025 0.38452870219448504
k3mol1 0.4770886459895106 0.1988450317976946 0.8222147503860802 0.41298972165376496 0.5018414413191371 0.26702922453781985 0.41298972165376496
mass1 8.969518453133663 8.698052925799868 9.546414708101857 9.014947498398548 9.072997810057362 0.4034063668384275 9.014947498398548
