param med -1sig +1sig bestfit modemean modesigma modemax
h2den1 2.5843456301137424 2.143854574016637 4.549071316779059 3.4525446848935246 3.0840537775151 1.1892855605156936 3.4525446848935246
tkin1 1.8697658254206406 1.1747383222130252 2.39468962363762 1.1839049503264545 1.8394539092267868 0.5228088445348734 1.1839049503264545
cdmol1 18.537213505553172 17.988625979868196 18.870411826975076 17.874973772330243 18.483408496407527 0.44260048253632617 17.874973772330243
ff1 -1.1343248102456875 -1.4784102996343842 -0.7425006703200657 -0.7360402498970635 -1.1223392511819699 0.3543384696667278 -0.7360402498970635
xmol1 -1.48 -1.48 -1.48 -1.48 -1.4799999999999986 6.322027276634104e-08 -1.48
lum1 2.0707764625549316 2.0707764625549316 2.0707764625549316 2.0707764625549316 2.070776462554931 1.8250120749944284e-08 2.0707764625549316
press1 4.703662014507568 4.128191338405636 5.749307774215239 4.636449635219979 4.923507686741883 0.9177321000135423 4.636449635219979
bacd1 17.301765796044414 17.185950901588015 17.572299895933938 17.13893352243318 17.36106924522554 0.20473332966359786 17.13893352243318
k1mol0 2.0161313118587043 1.9170775814077423 2.1176405239538574 2.0585686883498675 2.0165769719988242 0.10078403868818801 2.0585686883498675
k2mol0 1.6612935874688948 1.5900220006515662 1.732177760298827 1.6376731099646848 1.6601152415404545 0.07513313574702983 1.6376731099646848
k3mol0 1.2646903785236654 0.99764476810493 1.4605436226290198 0.9398532156087976 1.2372852102824703 0.22929018346839994 0.9398532156087976
k1mol1 0.41494746187740184 0.37791476490644055 0.4524227460067307 0.4229155833425285 0.4145987393955558 0.03667093089749828 0.4229155833425285
k2mol1 0.27544132853501757 0.2084185507340987 0.5498036971924983 0.34578812133477255 0.3555412138211862 0.19712630026911293 0.34578812133477255
k3mol1 0.13197152470958556 0.07408127468775631 0.32327101809401904 0.09385677579086683 0.2081246983468392 0.2269102875513349 0.09385677579086683
mass1 7.403574542114875 7.287759647658476 7.6741086420043985 7.2407422685036416 7.462877991296001 0.20473332966359786 7.2407422685036416
