param med -1sig +1sig bestfit modemean modesigma modemax
h2den1 2.993863664624684 2.3042864059381705 5.302794547008167 2.996956437089479 3.512147818261552 1.312627839963625 2.996956437089479
tkin1 2.199879351619094 1.1222824886734262 2.9672124345559077 2.1322130562864707 2.0898418230102487 0.7747479394178572 2.1322130562864707
cdmol1 19.155307690755 18.696403343180126 19.508014464354904 19.309866560222055 19.140627592929352 0.4177888982750885 19.309866560222055
ff1 -1.8696224817436902 -2.201418694049028 -1.3417068343665448 -2.037075455046482 -1.8087721539261328 0.39022085251824384 -2.037075455046482
xmol1 -2.0 -2.0 -2.0 -2.0 -2.000000000000001 nan -2.0
lum1 3.0648322105407715 3.0648322105407715 3.0648322105407715 3.0648322105407715 3.064832210540772 nan 3.0648322105407715
press1 5.39423921428635 4.9677034873342025 6.480153140036634 5.129169493375949 5.6019896412717936 0.7639985322361664 5.129169493375949
bacd1 17.309774177318925 17.223235219581014 17.42491768145983 17.27279110517557 17.331855439003178 0.13883169620129418 17.27279110517557
k1mol0 0.4749828147975254 0.4464631434100775 0.501898756527116 0.4751545573642569 0.473957445443511 0.027947193602215262 0.4751545573642569
k2mol0 0.3771964491804906 0.3582432748419475 0.3981372383279545 0.37920547283369677 0.37798623108906876 0.019932253646503296 0.37920547283369677
k3mol0 0.29652988412560227 0.2542275055201959 0.33530888627573113 0.3096997723651475 0.29515836639534115 0.042812419238541725 0.3096997723651475
k1mol1 0.019572285419232855 0.016960441262796146 0.022153711372555687 0.01967644862669763 0.019575468112753597 0.0025942150282500806 0.01967644862669763
k2mol1 0.022430252327423326 0.015563135496616946 0.03772955246048823 0.023652137966576343 0.02610112335817723 0.01218133105487236 0.023652137966576343
k3mol1 0.011577815477069212 0.006866279133031524 0.02596803473473848 0.01292787665253862 0.01776024943672834 0.018437688209840087 0.01292787665253862
mass1 8.148341488614808 8.061802530876896 8.263484992755714 8.111358416471454 8.17042275029906 0.13883169620129418 8.111358416471454
